participant,age,sex,bfi_a1,bfi_a2,bfi_a3,bfi_a4,bfi_a5,bfi_a6,bfi_a7,bfi_a8,bfi_a9,bfi_c1,bfi_c2,bfi_c3,bfi_c4,bfi_c5,bfi_c6,bfi_c7,bfi_c8,bfi_c9,bfi_e1,bfi_e2,bfi_e3,bfi_e4,bfi_e5,bfi_e6,bfi_e7,bfi_e8,bfi_n1,bfi_n2,bfi_n3,bfi_n4,bfi_n5,bfi_n6,bfi_n7,bfi_n8,bfi_o1,bfi_o10,bfi_o2,bfi_o3,bfi_o4,bfi_o5,bfi_o6,bfi_o7,bfi_o8,bfi_o9,is_likert,complete_criteria_a,complete_criteria_c,complete_criteria_e,complete_criteria_n,complete_criteria_o,agreeableness_mean,conscientiousness_mean,extraversion_mean,neuroticism_mean,openness_mean,block,category,trial,response,reaction_time,mean1,mean2,SD,D,trials_in_critical_blocks,exclusion_trial,pct_fast_trials,overall_accuracy,exclusion_performance,exclude_participant
228671,18,f,5,5,6,6,5,3,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6,4,5,4,5,5,5,6,include,include,exclude,exclude,exclude,include,5.333333333333333,NA,NA,NA,4.9,3,"Black People/Negative,White People/Positive",White People/Positive,correct,1750,906.1875,706.2297297297298,580.3696486813487,-0.3445351953269644,106,exclude,0,1,include,include
232178,27,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,3,3,3,2,5,2,2,4,3,2,NA,3,5,2,4,6,5,6,6,6,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,exclude,include,exclude,include,exclude,NA,3.3333333333333335,NA,5.625,NA,3,"Black People/Bad,White People/Good",White People/Good,correct,809,827.7692307692307,720.0266666666666,215.5056108245174,-0.4999524777584424,114,exclude,0,1,include,include
232474,30,m,4,6,5,4,5,3,6,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,6,6,6,6,6,6,6,include,include,exclude,exclude,exclude,include,4.222222222222222,NA,NA,NA,5.9,3,"White People/Unpleasant,Black People/Pleasant",Black People/Pleasant,correct,852,692.3421052631579,659.5945945945946,245.77847047212867,-0.13323994817632698,112,exclude,0,1,include,include
233978,44,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,3,6,6,5,5,3,4,2,5,4,3,5,3,6,2,2,4,2,1,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,exclude,include,include,include,exclude,NA,5,4,2.5,NA,3,"White People/Unpleasant,Black People/Pleasant",Black People/Pleasant,correct,940,830.225,706.7532467532467,196.66012742204248,-0.6278433501763008,117,exclude,0,1,include,include
235367,21,m,1,2,4,5,2,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,6,5,5,5,4,4,6,include,include,exclude,exclude,exclude,include,2.3333333333333335,NA,NA,NA,5.2,3,"Black People/Bad,White People/Good",White People/Good,correct,2549,1221.675,1246.5138888888891,847.8763811938378,0.02929541315199182,112,exclude,0,1,include,include
238241,51,f,5,5,6,5,6,2,5,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,6,4,5,4,5,3,5,5,include,include,exclude,exclude,exclude,include,4.555555555555555,NA,NA,NA,4.6,3,"White People/Bad,Black People/Good",Black People/Good,correct,1383,1047.6486486486488,855.2784810126583,367.98590229498745,-0.5227650473462468,116,exclude,0,1,include,include
239346,20,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,6,4,5,5,6,5,6,6,5,5,5,4,5,6,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,exclude,include,include,include,exclude,NA,5.333333333333333,5.25,4,NA,3,"White People/Unpleasant,Black People/Pleasant",White People/Unpleasant,correct,648,789.0769230769231,744.2236842105264,267.5667855778625,-0.16763380689993881,115,exclude,0,1,include,include
241587,41,f,5,5,2,4,6,2,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,6,6,6,5,5,4,5,5,include,include,exclude,exclude,exclude,include,4.111111111111111,NA,NA,NA,5.1,3,"White People/Unpleasant,Black People/Pleasant",Black People/Pleasant,correct,1824,1312.9189189189187,751.5897435897435,680.0668297352684,-0.8254029615702408,115,exclude,0,1,include,include
243747,23,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,5,3,2,3,5,5,4,4,5,3,3,3,5,2,5,4,3,4,4,2,5,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,exclude,include,include,include,exclude,NA,4,3.75,3.375,NA,3,"Black People/Unpleasant,White People/Pleasant",White People/Pleasant,correct,726,698.3142857142857,687,267.467500987069,-0.04230153447626779,109,exclude,0,1,include,include
245717,24,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,4,4,4,4,4,3,2,1,3,3,1,3,2,3,4,3,3,4,4,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,exclude,include,include,include,exclude,NA,4.222222222222222,2.25,3.5,NA,3,"White People/Unpleasant,Black People/Pleasant",White People/Unpleasant,correct,1228,779.3684210526316,758.4675324675324,232.70934588962763,-0.08981542406557384,115,exclude,0,1,include,include
249730,37,f,3,4,3,4,4,6,4,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,4,1,3,1,4,4,3,1,include,include,exclude,exclude,exclude,include,4.111111111111111,NA,NA,NA,2.4,3,"Black People/Unpleasant,White People/Pleasant",White People/Pleasant,correct,1072,961.6857142857143,920.8571428571428,550.9060904662614,-0.07411167190766783,105,exclude,0,1,include,include
251939,28,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,4,3,4,4,6,3,4,3,4,5,3,3,1,4,3,3,4,4,1,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,exclude,include,include,include,exclude,NA,4.111111111111111,3.375,3.25,NA,3,"Black People/Negative,White People/Positive",Black People/Negative,correct,966,727.2105263157895,749.48,359.9541512365355,0.061867528427465394,113,exclude,0,1,include,include
253188,32,f,3,5,5,4,6,4,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,6,6,6,4,6,5,6,3,include,include,exclude,exclude,exclude,include,5,NA,NA,NA,4.9,3,"Black People/Negative,White People/Positive",Black People/Negative,correct,875,813.6388888888889,759.3333333333333,184.262453031136,-0.29471850972470937,111,exclude,0,1,include,include
253519,22,m,5,6,6,5,6,5,6,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,6,6,5,5,2,6,1,include,include,exclude,exclude,exclude,include,5.333333333333333,NA,NA,NA,4.6,3,"Black People/Unpleasant,White People/Pleasant",Black People/Unpleasant,correct,1008,601.6774193548387,720.2535211267606,312.7299986069969,0.3791644623160528,102,exclude,0,1,include,include
254504,24,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,3,2,4,4,4,4,4,3,3,4,3,6,3,4,4,1,2,2,3,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,exclude,include,include,include,exclude,NA,3.5555555555555554,3.75,2.375,NA,3,"Black People/Negative,White People/Positive",White People/Positive,correct,960,864.8421052631579,739.9230769230769,279.01586688397043,-0.4477129911469478,116,exclude,0,1,include,include
285703,33,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,1,2,3,2,5,1,6,6,4,6,6,2,5,6,6,6,5,6,6,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,exclude,include,include,include,exclude,NA,2.5555555555555554,5.125,5.375,NA,3,"Black People/Pleasant,White People/Unpleasant",White People/Unpleasant,correct,3040,1653.3076923076924,1236.5189873417721,817.6251378231283,-0.509755248078101,118,exclude,0,1,include,include
287257,21,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,3,6,4,5,5,5,6,4,5,5,5,5,3,5,4,3,5,5,3,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,exclude,include,include,include,exclude,NA,5,4.75,3.75,NA,3,"White People/Positive,Black People/Negative",Black People/Negative,correct,573,670.4444444444445,636.7027027027028,210.62900278454453,-0.16019513597686522,110,exclude,0,1,include,include
289486,56,f,5,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,4,5,4,5,2,4,6,include,include,exclude,exclude,exclude,include,5.888888888888889,NA,NA,NA,4.4,3,"Black People/Positive,White People/Negative",Black People/Positive,correct,1015,654.8974358974358,600.1666666666667,198.50580439034476,-0.27571369713273297,117,exclude,0,1,include,include
289105,32,m,2,4,4,4,3,3,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,6,5,5,5,5,4,5,5,include,include,exclude,exclude,exclude,include,3.7777777777777777,NA,NA,NA,5,3,"Black People/Good,White People/Bad",White People/Bad,correct,1202,1035.85,777.3506493506494,586.6137721311982,-0.44066362388698954,117,exclude,0,1,include,include
291619,22,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,6,3,6,4,NA,4,3,6,2,4,5,3,4,3,5,1,3,3,6,3,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,exclude,exclude,include,include,exclude,NA,NA,4,3.125,NA,3,"Black People/Positive,White People/Negative",White People/Negative,correct,1467,739.4054054054054,733.0921052631578,314.33568176086175,-0.020084579984306725,113,exclude,0,1,include,include
293517,21,f,3,3,4,4,6,3,6,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6,4,5,4,5,3,4,5,include,include,exclude,exclude,exclude,include,4,NA,NA,NA,4.5,3,"White People/Pleasant,Black People/Unpleasant",Black People/Unpleasant,correct,1882,1273.35,1137.1012658227849,431.11767230324637,-0.31603606841098886,119,exclude,0,1,include,include
296088,49,m,6,5,4,6,6,3,6,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,6,4,1,5,4,4,6,4,include,include,exclude,exclude,exclude,include,5.222222222222222,NA,NA,NA,4.2,3,"Black People/Good,White People/Bad",White People/Bad,correct,1173,840.027027027027,793.1428571428571,242.10065657680494,-0.19365569076553144,114,exclude,0,1,include,include
310835,30,m,2,3,3,3,2,3,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,6,4,3,5,1,5,6,6,include,include,exclude,exclude,exclude,include,2.7777777777777777,NA,NA,NA,4.3,3,"White People/Positive,Black People/Negative",White People/Positive,correct,1312,1135.9166666666667,817.3947368421052,505.7302580137521,-0.6298257317558011,112,exclude,0,1,include,include
310981,52,m,4,6,5,5,6,2,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,5,6,6,5,4,2,6,5,include,include,exclude,exclude,exclude,include,4.777777777777778,NA,NA,NA,4.7,3,"Black People/Good,White People/Bad",White People/Bad,correct,7562,1704.891891891892,1017.2876712328768,998.740467881999,-0.688471372464959,110,exclude,0,1,include,include
311817,48,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,3,6,6,5,6,6,5,2,6,5,5,6,6,5,1,1,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,exclude,include,include,include,exclude,NA,5.333333333333333,5,1.25,NA,3,"White People/Good,Black People/Bad",Black People/Bad,correct,720,934.6486486486486,781.168831168831,372.2409054965446,-0.41231314241266886,114,exclude,0,1,include,include
316021,34,m,3,6,6,6,5,1,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,6,6,5,6,2,6,6,1,include,include,exclude,exclude,exclude,include,4.222222222222222,NA,NA,NA,4.5,3,"Black People/Positive,White People/Negative",Black People/Positive,correct,857,651.2058823529411,590.6363636363637,195.3094335880498,-0.3101208047345613,100,exclude,0,1,include,include
314655,19,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,6,6,6,6,6,2,5,3,5,5,3,6,2,4,1,2,5,4,2,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,exclude,include,include,include,exclude,NA,5.444444444444445,4.125,3.125,NA,3,"Black People/Positive,White People/Negative",Black People/Positive,correct,985,891.0250000000001,691.2857142857143,337.9156525096503,-0.5910921386175846,117,exclude,0,1,include,include
329537,17,m,2,3,2,3,4,4,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,6,4,5,5,3,4,5,3,include,include,exclude,exclude,exclude,include,2.888888888888889,NA,NA,NA,4.1,3,"Black People/Pleasant,White People/Unpleasant",Black People/Pleasant,correct,6464,1061.2051282051282,786.8082191780821,711.5601037226448,-0.3856271699207039,112,exclude,0,1,include,include
337414,31,f,3,4,3,5,5,2,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,4,1,4,3,4,3,include,include,exclude,exclude,exclude,include,3.6666666666666665,NA,NA,NA,3.2,3,"White People/Good,Black People/Bad",Black People/Bad,correct,1461,719.4736842105264,692.4675324675325,206.1507579696025,-0.13100195220711255,115,exclude,0,1,include,include
339121,29,m,3,6,4,6,6,6,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,6,4,5,6,3,6,5,5,include,include,exclude,exclude,exclude,include,5.333333333333333,NA,NA,NA,4.6,3,"White People/Positive,Black People/Negative",Black People/Negative,correct,1856,710,640.4933333333333,223.30966212026672,-0.311256870870338,112,exclude,0,1,include,include
343954,21,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,3,3,6,6,5,4,6,5,4,5,2,6,6,6,4,5,2,1,2,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,exclude,include,include,include,exclude,NA,5,5,2.625,NA,3,"Black People/Good,White People/Bad",White People/Bad,correct,878,979.025,897.8,373.40120947218975,-0.21752741539003911,120,include,0,1,include,include
347838,21,f,2,5,3,4,3,3,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,6,4,6,4,4,3,4,NA,include,include,exclude,exclude,exclude,exclude,3.2222222222222223,NA,NA,NA,NA,3,"White People/Good,Black People/Bad",White People/Good,correct,988,838.5405405405405,579.3815789473684,306.31826569576657,-0.8460447535001624,113,exclude,0,1,include,include
348671,26,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,2,2,3,3,4,2,2,2,2,3,2,2,2,3,4,5,4,4,4,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,exclude,include,include,include,exclude,NA,2.888888888888889,2.25,4.125,NA,3,"White People/Positive,Black People/Negative",Black People/Negative,correct,1418,797,688.7567567567568,171.0033444772172,-0.6329890422562143,112,exclude,0,1,include,include
354340,32,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,1,5,4,4,5,5,4,3,4,3,3,4,5,4,2,3,2,2,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,exclude,include,include,include,exclude,NA,4.444444444444445,3.75,2.375,NA,3,"White People/Good,Black People/Bad",White People/Good,correct,4533,893.875,701.3199999999999,477.7634475585545,-0.4030341814217602,115,exclude,0,1,include,include
357132,51,f,6,4,6,6,6,6,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,5,6,6,6,5,6,5,include,include,exclude,exclude,exclude,include,5.444444444444445,NA,NA,NA,5.5,3,"Black People/Pleasant,White People/Unpleasant",Black People/Pleasant,correct,1608,1381.7894736842106,1178.5625,376.5606271378804,-0.5396925728238646,118,exclude,0,1,include,include
368445,25,m,2,6,1,1,6,3,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,4,1,3,6,6,NA,6,3,include,include,exclude,exclude,exclude,exclude,3.7777777777777777,NA,NA,NA,NA,3,"White People/Good,Black People/Bad",White People/Good,correct,757,606.3888888888889,641.6233766233767,206.44095229036733,0.1706758632121065,113,exclude,0.008849557522123894,1,include,include
361490,41,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,6,2,3,5,5,6,3,6,3,6,6,4,5,2,3,3,3,4,4,2,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,exclude,include,include,include,exclude,NA,4.111111111111111,4.375,3,NA,3,"Black People/Positive,White People/Negative",White People/Negative,correct,608,587.4358974358975,589.8219178082192,106.12108463565147,0.02248394256912928,112,exclude,0,1,include,include
365480,21,f,6,6,6,6,6,5,6,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,6,5,6,5,6,3,6,4,include,include,exclude,exclude,exclude,include,5.444444444444445,NA,NA,NA,5,3,"White People/Pleasant,Black People/Unpleasant",White People/Pleasant,correct,700,748.3684210526316,659.3157894736842,161.3741324359918,-0.5518395683042302,114,exclude,0,1,include,include
365691,32,f,3,5,5,5,3,5,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,6,5,6,4,6,5,5,5,include,include,exclude,exclude,exclude,include,4.444444444444445,NA,NA,NA,4.9,3,"White People/Pleasant,Black People/Unpleasant",White People/Pleasant,correct,1063,705.5405405405405,655.2179487179487,244.42197821082763,-0.20588407061817388,115,exclude,0,1,include,include
365766,20,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,2,3,5,3,4,2,4,3,5,5,3,4,2,4,2,3,4,4,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,exclude,include,include,include,exclude,NA,3.3333333333333335,3.75,2.5,NA,3,"Black People/Good,White People/Bad",Black People/Good,correct,1346,874.3142857142857,665.4864864864865,284.8050513268646,-0.7332306721910353,109,exclude,0,1,include,include
366258,25,m,5,5,6,5,6,3,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,6,6,5,5,5,6,5,3,include,include,exclude,exclude,exclude,include,5.333333333333333,NA,NA,NA,4.9,3,"Black People/Positive,White People/Negative",Black People/Positive,correct,1390,1137.2972972972973,816.8815789473686,509.14934588579126,-0.6293157811928174,113,exclude,0,1,include,include
372836,26,f,2,5,4,5,5,2,6,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5,6,6,6,6,4,5,6,include,include,exclude,exclude,exclude,include,4.111111111111111,NA,NA,NA,5.5,3,"Black People/Pleasant,White People/Unpleasant",White People/Unpleasant,correct,1610,994.8108108108108,861.8767123287671,484.18730350012856,-0.27455097959215374,110,exclude,0,1,include,include
388154,19,f,2,5,6,5,3,4,6,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,6,3,5,4,6,3,5,5,include,include,exclude,exclude,exclude,include,4.444444444444445,NA,NA,NA,4.7,3,"Black People/Positive,White People/Negative",Black People/Positive,correct,522,750.9,512.4324324324324,277.1412332329759,-0.860455027877798,114,exclude,0,1,include,include
491808,22,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,5,6,5,6,6,5,2,3,5,3,2,2,3,3,2,2,4,3,2,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,exclude,include,include,include,exclude,NA,5.444444444444445,2.875,3.125,NA,3,"Black People/Pleasant,White People/Unpleasant",Black People/Pleasant,correct,694,646.7105263157895,675.3561643835616,194.14674575217293,0.14754632098926895,111,exclude,0,1,include,include
418670,17,m,4,4,5,5,5,2,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,6,5,5,5,5,5,6,4,include,include,exclude,exclude,exclude,include,4,NA,NA,NA,5,3,"White People/Pleasant,Black People/Unpleasant",White People/Pleasant,correct,1032,571.921052631579,550.078947368421,99.35884078608039,-0.2198305162414684,114,exclude,0,1,include,include
